partition,sum_product_mistake_indices
1|1|1|1|1|1|1|1|1|1|1|1,39916800
1|1|1|1|1|1|1|1|1|1|2,439084800
1|1|1|1|1|1|1|1|1|3,318540960
1|1|1|1|1|1|1|1|2|2,1558342080
1|1|1|1|1|1|1|1|4,167622984
1|1|1|1|1|1|1|2|3,1693507752
1|1|1|1|1|1|1|5,62364908
1|1|1|1|1|1|2|2|2,2193518592
1|1|1|1|1|1|2|4,654969884
1|1|1|1|1|1|3|3,369103252
1|1|1|1|1|1|6,16369178
1|1|1|1|1|2|2|3,2537486596
1|1|1|1|1|2|5,174647508
1|1|1|1|1|3|4,225912806
1|1|1|1|1|7,3029643
1|1|1|1|2|2|2|2,1194580704
1|1|1|1|2|2|4,667208374
1|1|1|1|2|3|3,756795452
1|1|1|1|2|6,31562922
1|1|1|1|3|5,46973695
1|1|1|1|4|4,26606149
1|1|1|1|8,392085
1|1|1|2|2|2|3,1171406698
1|1|1|2|2|5,113869255
1|1|1|2|3|4,296620097
1|1|1|2|7,3777750
1|1|1|3|3|3,56748422
1|1|1|3|6,6432760
1|1|1|4|5,8253460
1|1|1|9,34662
1|1|2|2|2|2|2,201520928
1|1|2|2|2|4,176907629
1|1|2|2|3|3,302700857
1|1|2|2|6,11939815
1|1|2|3|5,35745765
1|1|2|4|4,20285925
1|1|2|8,285846
1|1|3|3|4,23608815
1|1|3|7,552124
1|1|4|6,798907
1|1|5|5,449829
1|1|10,1992
1|2|2|2|2|3,118490179
1|2|2|2|5,14548945
1|2|2|3|4,57207970
1|2|2|7,694702
1|2|3|3|3,21989005
1|2|3|6,2376719
1|2|4|5,3056070
1|2|9,12354
1|3|3|5,1801690
1|3|4|4,2054129
1|3|8,26818
1|4|7,43483
1|5|6,54813
1|11,67
2|2|2|2|2|2,4589056
2|2|2|2|4,5736320
2|2|2|3|3,13153825
2|2|2|6,493056
2|2|3|5,2226280
2|2|4|4,1265728
2|2|8,17104
2|3|3|4,2956315
2|3|7,66309
2|4|6,96128
2|5|5,54159
2|10,232
3|3|3|3,286605
3|3|6,57321
3|4|5,148225
3|9,561
4|4|4,28336
4|8,1012
5|7,1419
6|6,792
12,1
